locatie omschrijving,date,BADGT_n,CHLFa_ug/l_blauwalg,E_COLI_nKVE/dl,INTTNLETRCCN_nKVE/dl,O2_%,O2_mg/l,T_oC,ZICHT_m,FG,TG,SQ,DR,RH,PG,UG,EV24
",brug bij hondenstrand, zwemwater",2010-04-26,,,15.0,20.0,,,,,5.0,11.6,10.6,0.0,0.0,1024.3,84,3.3
",brug bij hondenstrand, zwemwater",2010-05-10,,,200.0,60.0,,,,,3.2,6.9,1.8,0.4,0.1,1011.5,73,1.5
",brug bij hondenstrand, zwemwater",2010-05-25,,,50.0,15.0,,,,,3.5,12.5,11.4,0.0,0.0,1013.7,67,3.8
",brug bij hondenstrand, zwemwater",2010-06-07,,,60.0,180.0,,,,,4.8,14.1,2.5,0.0,0.0,1010.6,86,1.7
",brug bij hondenstrand, zwemwater",2010-06-21,,,20.0,20.0,,,,,3.5,13.4,12.8,0.4,0.2,1022.0,71,4.3
",brug bij hondenstrand, zwemwater",2010-07-05,,,30.0,20.0,,,,,4.4,18.1,7.4,0.0,0.0,1020.2,69,4.0
",brug bij hondenstrand, zwemwater",2010-07-19,,46.0,80.0,15.0,,,,,2.1,20.6,13.7,0.0,0.0,1022.1,63,4.9
",brug bij hondenstrand, zwemwater",2010-08-02,,,20.0,30.0,,,,,2.9,17.3,3.7,0.6,0.2,1015.3,80,2.6
",brug bij hondenstrand, zwemwater",2010-08-16,,,2300.0,480.0,,,,,3.1,19.6,4.1,2.9,3.7,1007.4,84,2.3
",brug bij hondenstrand, zwemwater",2010-08-30,,,250.0,140.0,,,,,7.3,14.8,7.5,1.1,3.8,1016.3,73,2.3
",brug bij hondenstrand, zwemwater",2010-09-13,,,30.0,15.0,,,,,5.1,15.2,5.4,2.4,1.0,1023.5,78,2.2
1994 Hoofdenburgsingel,2009-04-08,,,,,31.0,3.4,10.5,0.4,6.7,8.6,4.2,4.8,3.0,1009.9,86,0.9
1994 Hoofdenburgsingel,2009-05-14,,,,,37.0,3.8,14.4,0.1,5.7,15.3,5.6,1.9,2.5,1008.3,65,3.3
1994 Hoofdenburgsingel,2009-06-12,,,,,22.0,2.3,14.1,0.3,4.4,13.1,15.2,0.0,-0.1,1021.0,72,4.9
1994 Hoofdenburgsingel,2009-07-10,,,,,9.0,0.9,16.2,0.3,7.8,14.9,1.6,5.2,3.1,1012.9,75,2.0
1994 Hoofdenburgsingel,2009-08-14,,,,,15.0,1.4,17.9,0.15,2.9,17.7,9.1,0.0,0.0,1018.0,71,3.3
1994 Hoofdenburgsingel,2009-09-10,,,,,23.0,2.3,16.0,0.4,4.8,15.9,8.5,0.0,0.0,1033.5,73,2.4
1994 Omgang/Populierenstraat,2008-02-18,,,,,,4.6,3.5,0.5,1.4,1.5,7.7,0.0,0.0,1034.0,91,0.9
1994 Omgang/Populierenstraat,2008-03-14,,,,,,9.3,7.5,0.6,5.0,7.4,9.0,0.0,-0.1,1010.8,80,1.9
1994 Omgang/Populierenstraat,2008-04-15,,,,,,9.3,9.2,0.6,3.9,6.2,9.3,3.9,5.9,1021.9,77,2.4
1994 Omgang/Populierenstraat,2008-05-27,,,,,,2.9,15.6,0.6,4.9,16.5,2.4,0.0,-0.1,1011.4,81,2.2
1994 Omgang/Populierenstraat,2008-06-18,,,,,,3.3,17.5,0.75,5.5,16.1,6.8,0.0,0.0,1013.7,68,3.4
1994 Omgang/Populierenstraat,2008-07-22,,,,,,2.7,16.3,0.7,4.4,16.0,7.9,0.0,-0.1,1024.1,81,3.5
1994 Omgang/Populierenstraat,2008-08-18,,,,,,1.7,17.8,0.6,4.7,16.3,0.9,4.9,2.2,1007.5,90,1.2
1994 Omgang/Populierenstraat,2008-09-16,,,,,,1.3,14.8,0.55,2.2,12.5,1.9,0.0,0.0,1024.9,79,1.5
1994 Omgang/Populierenstraat,2008-10-16,,,,,,2.5,13.5,0.65,5.8,11.1,3.8,3.4,5.0,1011.2,78,0.9
1994 Omgang/Populierenstraat,2008-11-20,,,,,,2.3,9.2,0.4,8.4,10.0,0.8,4.4,4.9,1010.2,84,0.3
1994 Omgang/Populierenstraat,2008-12-19,,,,,,2.8,3.6,0.6,6.0,6.1,4.3,5.8,7.6,1020.5,87,0.4
1994 Omgang/Populierenstraat,2009-01-23,,,,,,,3.6,,8.2,5.2,0.0,15.6,11.9,972.9,94,0.1
1994 Omgang/Populierenstraat,2009-02-18,,,,,,,3.4,,2.4,-0.1,3.0,0.0,0.0,1027.6,74,0.5
1994 Omgang/Populierenstraat,2009-03-20,,,,,,,7.4,,2.7,5.1,11.3,0.0,0.0,1032.9,67,2.0
1994 Omgang/Populierenstraat,2009-04-16,,,,,,,15.3,,3.5,14.1,3.3,0.9,3.0,1006.2,77,2.2
1994 Omgang/Populierenstraat,2009-05-14,,,,,,,15.4,,5.7,15.3,5.6,1.9,2.5,1008.3,65,3.3
1994 Omgang/Populierenstraat,2009-06-12,,,,,,,14.9,,4.4,13.1,15.2,0.0,-0.1,1021.0,72,4.9
1994 Omgang/Populierenstraat,2009-07-09,,,,,,,18.1,,6.9,15.7,7.1,0.3,0.2,1012.7,67,3.4
1994 Omgang/Populierenstraat,2009-08-07,,,,,,,21.0,,4.4,21.3,5.1,0.0,0.0,1017.3,72,3.0
1994 Omgang/Populierenstraat,2009-09-04,,,,,,,15.4,,9.5,15.0,6.0,4.3,13.6,1004.3,72,2.2
1994 Omgang/Populierenstraat,2009-10-06,,,,,,,12.9,,5.3,15.0,0.1,2.7,2.3,1009.3,93,0.6
1994 Omgang/Populierenstraat,2009-11-03,,,,,,,9.7,,6.3,7.2,0.3,4.6,4.4,991.0,96,0.3
1994 Omgang/Populierenstraat,2009-12-03,,,,,,,6.8,,6.2,8.1,0.0,6.1,4.3,997.1,94,0.1
1994 Prinses Irenelaan,2009-04-08,,,,,38.0,4.3,10.1,0.3,6.7,8.6,4.2,4.8,3.0,1009.9,86,0.9
1994 Prinses Irenelaan,2009-05-14,,,,,56.0,5.7,14.8,0.55,5.7,15.3,5.6,1.9,2.5,1008.3,65,3.3
1994 Prinses Irenelaan,2009-06-12,,,,,22.0,2.2,14.4,0.5,4.4,13.1,15.2,0.0,-0.1,1021.0,72,4.9
1994 Prinses Irenelaan,2009-07-10,,,,,17.0,1.6,17.7,0.5,7.8,14.9,1.6,5.2,3.1,1012.9,75,2.0
1994 Prinses Irenelaan,2009-08-14,,,,,34.0,3.1,19.4,0.5,2.9,17.7,9.1,0.0,0.0,1018.0,71,3.3
1994 Prinses Irenelaan,2009-09-10,,,,,5.0,0.5,16.3,0.4,4.8,15.9,8.5,0.0,0.0,1033.5,73,2.4
1994 v.Avercamplaan,2008-02-18,,,,,,12.9,2.5,0.5,1.4,1.5,7.7,0.0,0.0,1034.0,91,0.9
1994 v.Avercamplaan,2008-03-14,,,,,,12.1,8.1,0.4,5.0,7.4,9.0,0.0,-0.1,1010.8,80,1.9
1994 v.Avercamplaan,2008-04-15,,,,,,11.3,10.4,0.45,3.9,6.2,9.3,3.9,5.9,1021.9,77,2.4
1994 v.Avercamplaan,2008-05-27,,,,,,5.8,14.3,0.15,4.9,16.5,2.4,0.0,-0.1,1011.4,81,2.2
1994 v.Avercamplaan,2008-06-18,,,,,,5.0,18.1,0.3,5.5,16.1,6.8,0.0,0.0,1013.7,68,3.4
1994 v.Avercamplaan,2008-07-22,,,,,,2.1,16.2,0.35,4.4,16.0,7.9,0.0,-0.1,1024.1,81,3.5
1994 v.Avercamplaan,2008-08-18,,,,,,3.7,18.5,0.2,4.7,16.3,0.9,4.9,2.2,1007.5,90,1.2
1994 v.Avercamplaan,2008-09-16,,,,,,2.4,14.4,0.3,2.2,12.5,1.9,0.0,0.0,1024.9,79,1.5
1994 v.Avercamplaan,2008-10-16,,,,,,3.9,13.4,0.5,5.8,11.1,3.8,3.4,5.0,1011.2,78,0.9
1994 v.Avercamplaan,2008-11-20,,,,,,4.5,9.2,0.3,8.4,10.0,0.8,4.4,4.9,1010.2,84,0.3
1994 v.Avercamplaan,2008-12-19,,,,,,5.1,3.1,0.6,6.0,6.1,4.3,5.8,7.6,1020.5,87,0.4
1994 v.Avercamplaan,2009-01-28,,,,,,,2.0,,3.5,-1.4,6.8,0.0,0.0,1018.5,93,0.5
1994 v.Avercamplaan,2009-02-24,,,,,,,5.6,,2.5,4.3,3.6,0.0,0.0,1027.1,80,0.7
1994 v.Avercamplaan,2009-03-27,,,,,,,7.2,,8.1,6.7,4.8,0.2,0.1,996.4,75,1.5
1994 v.Avercamplaan,2009-04-22,,,,,70.0,7.2,14.4,0.35,4.0,9.5,12.2,0.0,0.0,1025.4,74,3.4
1994 v.Avercamplaan,2009-05-28,,,,,26.0,2.6,16.3,0.4,5.0,14.9,12.9,0.0,0.0,1027.9,78,4.5
1994 v.Avercamplaan,2009-06-15,,,,,48.0,4.6,17.7,0.5,2.2,15.9,4.7,1.0,1.8,1016.7,72,2.9
1994 v.Avercamplaan,2009-07-07,,,,,22.0,2.0,20.3,0.3,6.0,16.7,5.6,3.6,15.0,1003.3,79,2.8
1994 v.Avercamplaan,2009-08-20,,,,,102.0,8.5,23.9,0.3,6.1,23.1,4.9,0.5,0.6,1014.4,66,2.9
1994 v.Avercamplaan,2009-09-17,,,,,34.0,3.4,15.4,0.3,4.2,13.9,1.8,0.0,0.0,1021.4,71,1.5
1994 v.Avercamplaan,2009-10-16,,,,,,,10.0,,7.4,11.0,4.2,5.2,1.6,1024.7,76,1.0
1994 v.Avercamplaan,2009-11-11,,,,,,,8.3,,4.7,7.9,0.0,1.1,0.5,1007.4,92,0.2
1994 v.Avercamplaan,2009-12-03,,,,,,,7.0,,6.2,8.1,0.0,6.1,4.3,997.1,94,0.1
1994 v.Avercamplaan,2017-01-05,,,,,73.0,9.9,2.8,0.8,3.0,0.3,6.2,0.0,-0.1,1033.1,79,0.4
1994 v.Avercamplaan,2017-02-02,,,,,67.0,8.1,3.9,0.7,5.9,8.9,2.8,1.7,0.7,1004.2,88,0.6
1994 v.Avercamplaan,2017-03-02,,,,,72.0,8.7,6.2,0.6,9.0,6.3,2.4,4.8,4.8,1005.8,81,0.7
1994 v.Avercamplaan,2017-04-06,,,,,63.0,6.9,11.2,0.3,4.1,8.0,3.8,0.0,-0.1,1028.7,75,1.5
1994 v.Avercamplaan,2017-05-12,,,,,47.0,4.7,14.9,0.2,4.0,15.4,2.6,6.6,8.9,1000.5,86,1.9
1994 v.Avercamplaan,2017-06-06,,,,,14.0,1.3,18.3,0.3,9.8,14.4,2.0,4.0,8.5,997.6,74,1.6
1994 v.Avercamplaan,2017-07-07,,,,,41.0,3.7,21.1,0.4,3.5,19.8,8.0,1.0,8.1,1014.7,85,4.0
1994 v.Avercamplaan,2017-08-02,,,,,51.0,4.6,20.1,0.3,4.9,18.3,2.7,2.6,1.8,1015.1,74,2.6
1994 v.Avercamplaan,2017-09-05,,,,,34.0,3.1,18.8,0.5,4.8,18.6,1.5,0.2,0.1,1014.8,85,1.4
1994 v.Avercamplaan,2017-10-25,,,,,50.0,5.2,13.8,0.4,6.0,14.1,3.1,0.0,-0.1,1020.1,87,0.6
1994 v.Avercamplaan,2017-11-14,,,,,42.0,5.2,6.2,0.8,4.5,8.1,0.8,4.2,2.5,1022.4,92,0.2
1994 v.Avercamplaan,2017-12-14,,,,,74.0,9.7,2.5,0.8,5.8,3.5,1.2,4.9,7.8,988.8,87,0.2
1994 v.Avercamplaan,2018-01-12,,,,,43.0,5.7,4.0,0.8,2.0,5.0,0.0,0.0,0.0,1026.4,94,0.1
1994 v.Avercamplaan,2018-02-01,,,,,71.0,8.8,5.2,0.7,6.5,4.3,3.9,4.8,4.1,998.1,83,0.5
1994 v.Avercamplaan,2018-03-08,,,,,109.0,14.2,3.4,0.7,7.8,4.7,3.3,3.5,4.1,997.8,84,0.7
1994 v.Avercamplaan,2018-04-19,,0.5,,,73.0,7.2,16.2,0.3,4.1,20.0,13.0,0.0,0.0,1025.2,53,4.0
1994 v.Avercamplaan,2018-05-08,,0.5,,,64.0,5.9,18.4,0.5,2.8,19.8,14.2,0.0,0.0,1010.0,55,4.8
1994 v.Avercamplaan,2018-06-08,,0.5,,,41.0,3.6,22.1,0.2,3.0,17.8,0.0,0.1,0.1,1015.2,88,1.3
1994 v.Avercamplaan,2018-07-27,,1.0,,,39.0,3.2,25.1,0.3,5.0,29.5,11.1,0.0,0.0,1010.2,38,5.2
1994 v.Avercamplaan,2018-08-08,,3.4,,,45.0,3.9,23.3,0.4,5.6,19.7,5.0,1.0,3.5,1010.8,76,2.2
1994 v.Avercamplaan,2018-09-06,,0.7,,,20.0,1.8,18.8,0.4,2.9,16.4,0.8,5.3,10.8,1012.8,94,0.8
1994 v.Avercamplaan,2018-10-08,,,,,45.0,4.8,12.7,0.5,4.1,11.2,7.3,0.0,0.0,1021.1,83,1.5
1994 v.Avercamplaan,2018-11-08,,,,,27.0,3.1,8.3,0.6,4.4,9.0,8.0,0.0,0.0,1018.0,85,0.9
1994 v.Avercamplaan,2018-12-13,,,,,57.0,7.4,3.5,0.7,5.6,1.6,6.3,0.0,0.0,1022.6,86,0.4
2010_Waterproef-Gemeenschapspolder West-13,2017-04-10,,1.9,,,,,,,5.8,9.2,6.2,0.0,-0.1,1022.5,74,1.9
2010_Waterproef-Gemeenschapspolder West-13,2017-05-09,,2.2,,,,,,,3.2,8.6,9.9,0.0,0.0,1020.5,69,2.9
2010_Waterproef-Gemeenschapspolder West-13,2017-06-09,,0.5,,,,,,,5.9,16.1,7.4,5.0,14.0,1011.6,81,2.9
2010_Waterproef-Gemeenschapspolder West-13,2017-07-11,,0.5,,,,,,,4.8,18.2,3.3,2.6,3.6,1009.9,78,2.5
2010_Waterproef-Gemeenschapspolder West-13,2017-08-03,,0.5,,,,,,,9.6,19.1,8.0,0.2,0.2,1008.4,73,3.3
2010_Waterproef-Gemeenschapspolder West-13,2017-09-13,,0.5,,,,,,,11.1,14.7,4.6,4.0,5.5,996.1,72,1.7
2010_Waterproef-Gemeenschapspolder West-2,2017-04-10,,0.5,,,,,,,5.8,9.2,6.2,0.0,-0.1,1022.5,74,1.9
2010_Waterproef-Gemeenschapspolder West-2,2017-05-09,,0.6,,,,,,,3.2,8.6,9.9,0.0,0.0,1020.5,69,2.9
2010_Waterproef-Gemeenschapspolder West-2,2017-06-09,,0.7,,,,,,,5.9,16.1,7.4,5.0,14.0,1011.6,81,2.9
2010_Waterproef-Gemeenschapspolder West-2,2017-07-11,,7.7,,,,,,,4.8,18.2,3.3,2.6,3.6,1009.9,78,2.5
2010_Waterproef-Gemeenschapspolder West-2,2017-08-03,,161.0,,,,,,,9.6,19.1,8.0,0.2,0.2,1008.4,73,3.3
2010_Waterproef-Gemeenschapspolder West-2,2017-09-13,,6.7,,,,,,,11.1,14.7,4.6,4.0,5.5,996.1,72,1.7
2010_Waterproef-Holendrechter- en Bullewijker Polder-4,2018-04-18,,2.0,,,,,,,2.8,16.8,13.0,0.0,0.0,1029.5,63,3.8
2010_Waterproef-Holendrechter- en Bullewijker Polder-4,2018-05-29,,0.5,,,,,,,4.6,22.2,10.7,3.2,7.5,1012.8,77,4.3
2010_Waterproef-Holendrechter- en Bullewijker Polder-4,2018-06-15,,0.5,,,,,,,2.2,18.0,7.4,0.0,0.0,1016.0,73,4.3
2010_Waterproef-Holendrechter- en Bullewijker Polder-4,2018-07-19,,0.5,,,,,,,3.6,19.9,11.7,0.0,0.0,1018.4,66,4.5
2010_Waterproef-Holendrechter- en Bullewijker Polder-4,2018-08-20,,0.5,,,,,,,3.3,19.6,7.0,0.0,0.0,1019.6,81,2.9
2010_Waterproef-Holendrechter- en Bullewijker Polder-4,2018-09-21,,0.5,,,,,,,11.1,15.5,5.0,2.8,5.9,1006.2,68,1.7
2010_Waterproef-Klein Duivendrechtsepolder-15,2015-04-29,,0.6,,,,,,,5.6,8.4,1.6,3.0,4.4,1015.1,73,1.4
2010_Waterproef-Klein Duivendrechtsepolder-15,2015-05-20,,0.5,,,,,,,5.3,10.0,11.1,0.0,-0.1,1014.7,77,3.3
2010_Waterproef-Klein Duivendrechtsepolder-15,2015-06-10,,0.6,,,,,,,5.8,15.1,12.9,0.0,0.0,1027.7,68,4.7
2010_Waterproef-Klein Duivendrechtsepolder-15,2015-07-09,,1.0,,,,,,,5.7,13.6,9.4,1.3,0.7,1021.2,68,3.3
2010_Waterproef-Klein Duivendrechtsepolder-15,2015-08-11,,7.4,,,,,,,2.8,19.9,3.0,0.6,0.2,1019.4,82,2.7
2010_Waterproef-Klein Duivendrechtsepolder-15,2015-09-10,,0.5,,,,,,,5.2,14.8,10.5,0.0,0.0,1023.1,72,2.8
2010_Waterproef-Klein Duivendrechtsepolder-15,2018-04-20,,0.5,,,,,,,3.1,16.8,12.4,0.0,0.0,1022.3,67,3.8
2010_Waterproef-Klein Duivendrechtsepolder-15,2018-05-25,,0.5,,,,,,,3.1,20.0,8.4,0.6,9.9,1018.1,78,3.9
2010_Waterproef-Klein Duivendrechtsepolder-15,2018-06-20,,0.5,,,,,,,5.5,18.3,7.1,0.0,0.0,1019.5,82,3.2
2010_Waterproef-Klein Duivendrechtsepolder-15,2018-07-26,,0.5,,,,,,,3.0,27.5,10.7,0.0,-0.1,1014.2,58,4.3
2010_Waterproef-Klein Duivendrechtsepolder-15,2018-08-23,,0.5,,,,,,,5.0,18.4,0.1,1.5,0.9,1011.6,87,1.1
2010_Waterproef-Klein Duivendrechtsepolder-15,2018-09-27,,0.5,,,,,,,3.3,14.6,10.5,0.0,0.0,1025.5,75,2.4
2010_Waterproef-Klein Duivendrechtsepolder-21,2015-04-29,,1.3,,,,,,,5.6,8.4,1.6,3.0,4.4,1015.1,73,1.4
2010_Waterproef-Klein Duivendrechtsepolder-21,2015-05-20,,0.6,,,,,,,5.3,10.0,11.1,0.0,-0.1,1014.7,77,3.3
2010_Waterproef-Klein Duivendrechtsepolder-21,2015-06-10,,0.7,,,,,,,5.8,15.1,12.9,0.0,0.0,1027.7,68,4.7
2010_Waterproef-Klein Duivendrechtsepolder-21,2015-07-09,,4.6,,,,,,,5.7,13.6,9.4,1.3,0.7,1021.2,68,3.3
2010_Waterproef-Klein Duivendrechtsepolder-21,2015-08-11,,8.9,,,,,,,2.8,19.9,3.0,0.6,0.2,1019.4,82,2.7
2010_Waterproef-Klein Duivendrechtsepolder-21,2015-09-10,,0.5,,,,,,,5.2,14.8,10.5,0.0,0.0,1023.1,72,2.8
2010_Waterproef-Middelpolder onder Amstelveen-19,2020-04-15,,0.5,,,96.0,10.9,10.6,0.2,2.0,8.4,11.4,0.0,0.0,1023.5,69,2.9
2010_Waterproef-Middelpolder onder Amstelveen-19,2020-05-07,,0.5,,,83.0,8.1,17.1,0.2,1.4,12.4,14.1,0.0,0.0,1023.4,66,4.0
2010_Waterproef-Middelpolder onder Amstelveen-19,2020-06-09,,20.5,,,75.0,7.6,14.9,0.2,2.9,12.4,4.7,0.0,0.0,1019.5,66,2.6
2010_Waterproef-Middelpolder onder Amstelveen-19,2020-07-17,,7.9,,,74.0,6.9,19.4,0.1,2.0,18.2,4.8,0.3,0.3,1020.5,79,2.7
2010_Waterproef-Middelpolder onder Amstelveen-19,2020-08-18,,0.5,,,39.0,3.7,17.0,0.3,4.5,19.1,11.1,0.2,0.7,1010.0,76,3.7
2010_Waterproef-Middelpolder onder Amstelveen-19,2020-09-02,,21.4,,,75.0,7.6,15.3,0.1,1.8,14.9,10.0,0.0,0.0,1019.0,75,2.7
20m hypolymnion 1991,2012-01-23,,,,,93.0,11.7,5.4,,5.9,5.3,5.3,1.6,3.0,1014.4,83,0.6
20m hypolymnion 1991,2012-03-19,,,,,98.0,12.4,6.0,,3.6,5.0,11.3,0.0,0.0,1030.8,85,2.0
20m hypolymnion 1991,2012-04-16,,1.1,,,90.0,11.1,6.6,,4.1,5.3,8.1,0.0,0.0,1021.9,66,2.2
20m hypolymnion 1991,2012-05-14,,0.7,,,74.0,8.4,9.5,,6.1,10.9,8.8,2.9,3.4,1016.1,71,3.5
20m hypolymnion 1991,2012-06-18,,0.3,,,59.0,6.1,13.0,,4.3,14.4,2.7,3.1,10.6,1016.5,84,2.1
20m hypolymnion 1991,2012-07-16,,0.4,,,31.0,3.5,10.0,,6.9,15.6,3.7,11.6,20.7,1018.7,85,1.6
20m hypolymnion 1991,2012-09-10,,0.7,,,28.0,3.1,10.4,,5.4,18.9,3.4,0.2,0.1,1011.8,82,1.8
20m hypolymnion 1991,2012-10-15,,1.0,,,50.0,5.3,10.3,,5.7,10.2,5.5,1.7,4.8,1002.3,77,1.2
20m hypolymnion 1991,2012-11-19,,,,,78.0,9.0,8.5,,3.6,4.6,0.0,0.0,0.0,1015.2,98,0.2
20m hypolymnion 1991,2012-12-11,,,,,81.0,10.3,5.3,,3.2,0.5,5.8,0.4,0.5,1026.2,86,0.4
5m epilymnion 1991,2012-01-23,,,,,94.0,11.8,5.4,,5.9,5.3,5.3,1.6,3.0,1014.4,83,0.6
5m epilymnion 1991,2012-03-19,,0.8,,,110.0,13.2,7.0,,3.6,5.0,11.3,0.0,0.0,1030.8,85,2.0
5m epilymnion 1991,2012-04-16,,1.4,,,115.0,13.4,8.1,,4.1,5.3,8.1,0.0,0.0,1021.9,66,2.2
5m epilymnion 1991,2012-05-14,,0.9,,,100.0,10.6,12.4,,6.1,10.9,8.8,2.9,3.4,1016.1,71,3.5
5m epilymnion 1991,2012-06-18,,0.4,,,57.0,5.8,13.0,,4.3,14.4,2.7,3.1,10.6,1016.5,84,2.1
5m epilymnion 1991,2012-07-16,,0.7,,,89.0,8.6,17.3,,6.9,15.6,3.7,11.6,20.7,1018.7,85,1.6
5m epilymnion 1991,2012-09-10,,5.9,,,92.0,8.5,19.1,,5.4,18.9,3.4,0.2,0.1,1011.8,82,1.8
5m epilymnion 1991,2012-10-15,,1.3,,,95.0,10.0,12.3,,5.7,10.2,5.5,1.7,4.8,1002.3,77,1.2
5m epilymnion 1991,2012-11-19,,,,,76.0,8.8,8.6,,3.6,4.6,0.0,0.0,0.0,1015.2,98,0.2
5m epilymnion 1991,2012-12-11,,,,,80.0,10.2,5.4,,3.2,0.5,5.8,0.4,0.5,1026.2,86,0.4
5m epilymnion 1991,2013-02-18,,,,,,12.1,3.2,,1.7,2.4,7.6,0.0,0.0,1021.8,88,0.9
5m epilymnion 1991,2013-03-18,,1.3,,,93.0,11.8,3.8,,4.4,5.3,3.8,5.6,4.0,992.1,84,1.2
5m epilymnion 1991,2013-04-15,,2.4,,,95.0,11.7,5.9,,4.5,12.0,5.8,0.6,0.6,1018.8,78,2.3
5m epilymnion 1991,2013-05-13,,0.5,,,94.0,9.8,12.8,,7.8,11.2,3.8,4.5,6.4,1010.3,77,2.3
5m epilymnion 1991,2013-06-24,,0.5,,,87.0,8.6,17.1,,5.3,13.2,1.8,1.0,0.2,1019.9,83,2.1
5m epilymnion 1991,2013-07-15,,0.5,,,88.0,8.2,18.8,,2.4,18.9,14.5,0.0,0.0,1023.0,73,5.0
5m epilymnion 1991,2013-08-19,,2.5,,,96.0,8.8,19.0,,4.3,16.5,9.0,1.9,4.5,1018.3,80,3.1
5m epilymnion 1991,2013-09-16,,3.8,,,97.0,9.2,16.7,,7.4,12.1,9.1,1.7,4.5,999.5,69,2.4
5m epilymnion 1991,2013-10-21,,0.5,,,25.0,2.7,12.7,,5.8,14.5,1.2,0.0,0.0,1010.0,90,0.7
5m epilymnion 1991,2013-11-25,,,,,82.0,9.7,7.9,,3.4,5.4,3.9,0.2,0.1,1032.7,82,0.5
5m epilymnion 1991,2014-01-13,,,,,94.0,11.5,6.3,,5.8,6.1,4.2,1.6,1.4,1007.9,90,0.4
5m epilymnion 1991,2014-02-10,,,,,,11.5,4.8,,3.6,5.0,0.7,1.3,0.7,994.7,85,0.4
5m epilymnion 1991,2014-03-10,,0.5,,,,10.5,7.5,,4.1,9.5,10.2,0.0,0.0,1026.7,79,1.9
5m epilymnion 1991,2014-04-07,,3.0,,,,11.5,10.3,,4.9,14.8,3.0,3.6,14.8,1011.1,85,1.9
5m epilymnion 1991,2014-05-12,,0.5,,,,8.8,12.9,,5.4,11.0,5.4,1.5,1.5,1008.4,83,2.4
5m epilymnion 1991,2014-06-02,,0.5,,,,7.1,14.5,,2.3,14.1,8.7,0.0,0.0,1019.0,75,3.1
5m epilymnion 1991,2014-06-30,,0.5,,,,6.5,17.6,,3.5,13.9,7.5,3.3,4.7,1016.8,78,3.2
5m epilymnion 1991,2014-08-25,,1.6,,,,7.8,16.4,,3.1,13.1,0.0,8.4,3.5,1012.1,88,0.9
5m epilymnion 1991,2014-09-08,,2.3,,,,8.5,17.3,,2.2,14.7,10.5,0.0,0.0,1018.9,78,2.9
5m epilymnion 1991,2014-10-06,,2.5,,,,9.4,16.6,,4.5,13.6,0.4,0.8,0.2,1008.1,88,0.4
5m epilymnion 1991,2014-11-04,,,,,,9.4,12.4,,3.8,8.7,0.8,1.0,1.2,994.3,95,0.6
5m epilymnion 1991,2014-12-01,,,,,90.0,10.6,7.7,,4.8,1.5,0.0,0.0,0.0,1013.6,88,0.1
5m epilymnion 1991,2015-01-05,,,,,96.0,12.4,5.3,,4.3,2.9,1.5,0.0,0.0,1030.3,93,0.2
5m epilymnion 1991,2015-02-02,,,,,94.0,11.9,4.2,,4.4,2.5,4.5,3.4,5.1,1000.1,86,0.6
5m epilymnion 1991,2015-03-02,,0.6,,,100.0,12.7,4.9,,9.6,5.2,6.3,1.3,3.0,1004.9,74,1.0
5m epilymnion 1991,2015-04-07,,0.5,,,99.0,11.8,8.0,,3.1,6.5,7.2,0.0,0.0,1035.9,89,2.1
5m epilymnion 1991,2015-05-04,,2.0,,,95.0,9.7,12.0,,6.0,14.9,8.5,3.0,3.1,1004.5,73,3.3
5m epilymnion 1991,2015-06-01,,2.1,,,99.0,10.0,14.9,,5.0,12.6,6.9,0.0,-0.1,1014.0,63,3.5
5m epilymnion 1991,2015-07-06,,4.9,,,65.0,6.0,18.2,,5.0,18.3,14.0,0.0,0.0,1019.2,67,4.7
5m epilymnion 1991,2015-08-04,,8.9,,,79.0,7.4,17.8,,5.4,17.9,6.5,4.4,8.4,1013.6,78,2.6
5m epilymnion 1991,2015-09-07,,6.0,,,89.0,8.6,17.4,,4.0,14.3,4.1,2.8,2.6,1026.8,88,1.6
5m epilymnion 1991,2015-10-05,,0.5,,,90.0,8.9,14.7,,3.8,13.1,2.3,1.6,0.3,1009.7,89,1.1
5m epilymnion 1991,2015-11-02,,,,,76.0,8.0,11.6,,2.1,8.6,7.6,0.0,0.0,1025.7,94,1.1
5m epilymnion 1991,2015-12-07,,,,,93.0,10.6,9.0,,4.5,10.7,1.6,2.7,0.9,1028.0,93,0.3
5m epilymnion 1991,2016-01-04,,,,,80.0,9.6,8.0,,4.7,5.9,0.0,12.6,11.6,987.7,97,0.1
5m epilymnion 1991,2016-02-08,,,,,90.0,10.6,6.6,,14.0,8.5,2.1,8.5,9.2,986.8,79,0.5
5m epilymnion 1991,2016-03-07,,0.5,,,93.0,11.4,5.6,,2.4,2.9,9.0,1.0,1.8,1005.6,85,1.3
5m epilymnion 1991,2016-04-04,,0.9,,,100.0,11.2,9.7,,4.1,12.5,4.1,2.8,7.4,1004.9,82,1.4
5m epilymnion 1991,2016-05-02,,3.5,,,135.0,14.8,11.2,,5.2,11.2,8.1,1.2,3.6,1022.1,69,2.9
5m epilymnion 1991,2016-06-06,,1.9,,,70.0,6.9,16.1,,3.6,18.1,15.3,0.0,0.0,1021.6,72,5.2
5m epilymnion 1991,2016-07-04,,13.7,,,87.0,8.2,18.0,,2.5,17.4,13.4,0.0,0.0,1018.8,72,4.5
5m epilymnion 1991,2016-08-01,,7.3,,,53.0,5.0,18.4,,4.1,17.0,9.5,0.0,-0.1,1017.6,72,3.7
