name,Location_Unique,Lat,Long,Status,review_datetime_utc,Sentiment_Score_mean,Sentiment_Score_median,Sentiment_Score_std,review_rating_mean,review_rating_median,review_rating_std,O2_mg/l_mean,O2_mg/l_median,O2_mg/l_std,O2_%_mean,O2_%_median,O2_%_std,T_oC_mean,T_oC_median,T_oC_std,ZICHT_m_mean,ZICHT_m_median,ZICHT_m_std,INTTNLETRCCN_nKVE/dl_mean,INTTNLETRCCN_nKVE/dl_median,INTTNLETRCCN_nKVE/dl_std,E_COLI_nKVE/dl_mean,E_COLI_nKVE/dl_median,E_COLI_nKVE/dl_std,BADGT_n_mean,BADGT_n_median,BADGT_n_std,CHLFa_ug/l_blauwalg_mean,CHLFa_ug/l_blauwalg_median,CHLFa_ug/l_blauwalg_std,FG_mean,FG_median,FG_std,TG_mean,TG_median,TG_std,SQ_mean,SQ_median,SQ_std,DR_mean,DR_median,DR_std,RH_mean,RH_median,RH_std,PG_mean,PG_median,PG_std,UG_mean,UG_median,UG_std,EV24_mean,EV24_median,EV24_std,Amenities_Score,Normalized_Amenities_Score
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2023-09-01,0.743,0.743,0.0,3.0,3.0,0.0,,,,,,,,,,,,,50.0,50.0,0.0,850.0,850.0,0.0,,,,,,,3.6966666666666668,3.1,1.8407395856617583,18.186666666666667,17.5,2.8345173996447595,6.510000000000001,6.15,4.08259313018903,1.1133333333333333,0.0,2.4900780889138576,2.1233333333333335,0.0,4.395731515408505,1015.5066666666667,1016.6,7.201848528136514,79.5,79.0,6.312685640834652,2.203333333333333,2.2,0.9530594012034204,6,0.43
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2023-06-01,0.3647,0.3647,0.0,4.666666666666667,5.0,0.5773502691896258,,,,,,,,,,,,,30.0,30.0,0.0,230.0,230.0,0.0,,,,,,,4.366666666666666,4.5,0.9516068282413466,19.273333333333333,19.950000000000003,3.2796273501048185,11.013333333333332,13.2,4.738827796922873,0.5066666666666666,0.0,1.3657557940162246,0.7533333333333333,0.0,3.080663709152443,1017.8766666666667,1017.6,3.927398064311226,64.93333333333334,68.5,11.057224887928355,4.466666666666667,4.95,1.2215654801205797,6,0.43
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2023-03-01,,,,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5.874193548387097,5.0,2.559859842677314,7.003225806451613,6.7,3.6952876592351123,3.9709677419354836,2.9,3.599569288606005,3.458064516129032,2.0,4.100414943089918,3.2516129032258063,1.3,4.426887858103094,1008.5451612903227,1006.9,10.687763238325495,81.87096774193549,82.0,7.227822299455615,1.1419354838709677,1.2,0.543450263948833,6,0.43
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2023-01-01,,,,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,6.416129032258064,6.1,2.6556205488510045,6.006451612903225,6.3,3.4633505578223476,1.9096774193548387,1.2,2.0338038156267326,3.158064516129032,2.2,3.4460612573467206,3.929032258064516,2.2,5.184542381795797,1013.8580645161289,1015.1,14.653520422411514,85.48387096774194,86.0,5.470572109858084,0.3096774193548387,0.3,0.16916271744679862,6,0.43
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2022-08-01,0.835,0.835,0.0,5.0,5.0,0.0,,,,,,,,,,,,,30.0,30.0,0.0,680.0,680.0,0.0,,,,,,,3.52258064516129,3.4,1.0422400433741197,20.29032258064516,19.8,2.5232281983806018,8.925806451612903,9.0,3.7201255391525634,0.27419354838709675,0.0,1.1883758887076101,1.425806451612903,0.0,7.503116244727512,1017.8903225806451,1017.4,5.831690666091088,69.83870967741936,70.0,8.613930106719856,3.3806451612903223,3.6,1.0107229462565348,6,0.43
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2022-06-01,0.38585,0.38585,0.5456743030416588,5.0,5.0,0.0,,,,,,,,,,,,,380.0,380.0,0.0,8300.0,8300.0,0.0,,,,,,,4.153333333333333,4.15,1.2355115899451887,17.063333333333333,16.799999999999997,2.442059695330062,9.636666666666667,10.95,4.396777860610604,1.1133333333333333,0.0,2.2388588363023003,2.52,0.0,5.904766436250181,1016.3199999999999,1015.9,4.655276576101571,70.86666666666666,71.0,7.804841802083856,3.8266666666666667,4.1,1.2027560942361597,6,0.43
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2022-03-01,0.4961333333333333,0.5106,0.0685545281752659,4.25,4.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,4.112903225806452,4.1,1.432061887175017,7.745161290322581,8.7,2.7771926774233395,8.438709677419356,9.8,2.9756731327772132,0.767741935483871,0.0,2.648966578385372,0.7290322580645162,0.0,2.794486916768743,1024.0612903225806,1024.0,8.87499849775017,67.48387096774194,70.0,10.285821646863832,1.8225806451612903,1.8,0.525915286579168,6,0.43
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2021-12-01,0.5719,0.5719,0.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4.819354838709677,4.7,2.248930836274774,5.612903225806452,5.3,3.701328613722887,1.467741935483871,0.2,2.1915360788760947,2.641935483870968,1.2,2.7795072890768284,1.941935483870968,0.6,2.4532761760221105,1012.7516129032258,1009.2,14.46249590219902,89.2258064516129,91.0,6.271850462232303,0.20322580645161292,0.2,0.10312495072997277,6,0.43
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2021-09-01,,,,5.0,5.0,0.0,,,,,,,,,,,,,140.0,140.0,0.0,24000.0,24000.0,0.0,,,,,,,3.7199999999999998,3.45,1.392455864052191,16.516666666666666,16.45,2.0060048742601686,6.13,6.0,3.595195868563121,0.3266666666666667,0.0,1.1286963965369763,0.48666666666666664,0.0,1.6857705129175269,1018.4533333333333,1017.1,5.114732533465352,79.76666666666667,80.0,4.92397761525736,2.03,2.1,0.759012516365837,6,0.43
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2021-08-01,,,,5.0,5.0,0.0,,,,,,,,,,,,,580.0,580.0,0.0,35000.0,35000.0,0.0,,,,,,,4.490322580645161,4.5,1.5175010950114938,17.080645161290324,17.0,1.1405769210356518,5.409677419354838,5.6,3.2720078514289503,0.8870967741935484,0.1,1.182872920255369,2.980645161290323,0.1,6.067120237053464,1015.8741935483871,1015.9,6.450854794168155,80.3225806451613,80.0,4.230359526963084,2.4322580645161294,2.5,0.8629981859115212,6,0.43
