Location_Unique,Lat,Long,Status,Sentiment_Score_median,INTTNLETRCCN_nKVE/dl_median,E_COLI_nKVE/dl_median,CHLFa_ug/l_blauwalg_median,FG_median,TG_median,SQ_median,DR_median,RH_median,Normalized_Amenities_Score
Ouderkerkerplas,52.2934374,4.9268533,official,0.5719,75.0,170.0,0.5,4.0,19.0,7.0,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,22.5,85.0,0.5,3.9,17.8,10.3,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,,,,5.449999999999999,1.5,6.4,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,,,,5.8,5.3,0.3,2.8,2.8,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,85.0,220.0,4.7,4.3,18.2,6.5,1.0,1.4,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.7351,80.0,230.0,0.8500000000000001,4.0,14.9,8.7,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.6705,130.0,310.0,25.0,3.1,17.5,6.15,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,45.0,105.0,3.8,5.8,18.0,6.8,0.4,0.3,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.6124,20.0,140.0,2.55,4.5,19.950000000000003,13.2,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,,,0.5,4.55,9.1,6.5,0.2,0.1,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.49435,17.5,205.0,2.05,3.4,19.8,9.0,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.6486,72.5,160.0,0.9,4.2,17.4,9.2,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.2202,20.0,50.0,0.7,4.15,16.799999999999997,10.95,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.5423,17.5,15.0,0.5,4.6,9.9,8.2,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.7717,,,0.5,4.1,8.7,9.8,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.46125,55.0,170.0,1.05,3.45,16.45,6.0,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.4215,45.0,350.0,1.0,4.5,17.0,5.6,0.1,0.1,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.7003,55.0,80.0,1.05,3.6,17.9,5.3,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,50.0,460.0,0.5,3.55,17.85,8.149999999999999,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.3889,32.5,415.0,0.5,4.4,11.1,5.9,1.2,1.3,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,,,0.5,4.5,8.9,2.3,0.3,0.25,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.8807,,,0.8500000000000001,5.6,11.5,2.4,1.7,2.1,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,62.5,180.0,2.6,4.55,15.35,5.95,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.5095,40.0,260.0,4.25,4.0,20.4,7.5,0.4,0.3,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.7376499999999999,22.5,60.0,0.5,4.2,17.3,6.4,0.3,0.3,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.6908,17.5,100.0,0.5,4.15,17.45,7.85,0.3,0.35,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.08695,17.5,55.0,0.5,4.5,13.6,11.7,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,,,0.5,5.8,6.8,6.7,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,,,,9.2,7.6,2.6,2.5,2.7,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.49305,,,0.5,6.2,6.5,0.4,1.0,0.7,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,,,0.5,5.2,6.2,2.4,1.6,0.7,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,,,0.5,4.05,6.2,1.4,0.6,0.8,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.0,,,0.5,4.7,11.8,2.4,1.6,1.5,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.4215,110.0,170.0,1.05,4.7,15.35,5.449999999999999,0.8,0.6499999999999999,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.0,120.0,125.0,0.9,4.6,18.5,7.6,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.5964,35.0,95.0,1.25,3.8,18.1,8.4,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.56045,22.5,110.0,0.5,4.25,16.950000000000003,9.4,0.05,0.05,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,17.5,40.0,0.8500000000000001,4.0,11.9,6.9,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,17.5,15.0,0.5,4.8,10.4,10.5,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.8655,,,0.5,6.5,8.1,3.0,1.0,0.4,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,,,0.5,4.1,7.15,6.35,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.0,,,0.5,5.1,4.6,0.7,1.3,0.7,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.6249,,,0.5,5.6,6.5,0.7,1.5,0.8,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,,,0.5,4.75,6.9,1.35,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.8221,,,0.5,4.2,12.7,6.8,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,150.0,810.0,0.5,4.199999999999999,15.25,6.300000000000001,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.6249,75.0,170.0,0.5,4.0,19.0,7.0,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.5994,35.0,80.0,1.6,3.3,20.0,11.7,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.43095,40.0,145.0,0.5,4.25,17.0,7.25,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,0.64785,22.5,85.0,0.5,3.9,17.8,10.3,0.0,0.0,0.07
Ouderkerkerplas,52.2920434,4.9246177,official,,15.0,15.0,0.5,4.5,11.05,3.9,0.3,0.1,0.07
Park Somerlust,52.3409612,4.9152788,unofficial,,,,,6.0,8.8,2.2,3.65,3.9,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.87505,,,,4.8,12.4,2.4,3.4,5.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.89075,180.0,1100.0,,3.1,17.5,6.15,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.0,145.0,350.0,,5.8,18.0,6.8,0.4,0.3,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.0,47.5,150.0,,4.5,19.950000000000003,13.2,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.5632,17.5,75.0,,4.3,13.6,8.8,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.5994,,,,4.35,6.65,2.9,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,,,,,6.1,6.3,1.2,2.2,2.2,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,,,,,5.65,9.4,2.3499999999999996,1.75,1.85,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,,,,,4.4,13.7,4.3,0.3,0.2,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.7184,55.0,635.0,,3.4,14.45,7.3,1.75,2.8499999999999996,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.5994,115.0,210.0,,3.4,19.8,9.0,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.88,40.0,235.0,,4.2,17.4,9.2,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.7783,30.0,125.0,2.3,4.0,14.0,9.0,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.8248,20.0,90.0,,4.6,9.9,8.2,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.9201,,,,7.8,6.949999999999999,3.85,2.1,1.5,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,,,,,3.3,8.1,1.45,0.9,0.4,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,,,,,5.4,11.9,2.7,1.3,1.5,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.0,50.0,370.0,,3.45,16.45,6.0,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.18675,110.0,590.0,,4.5,17.0,5.6,0.1,0.1,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.8591,60.0,260.0,,3.6,17.9,5.3,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.3681999999999999,40.0,310.0,,3.55,17.85,8.149999999999999,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,,37.5,90.0,,4.4,11.1,5.9,1.2,1.3,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,,20.0,40.0,,4.4,6.85,7.0,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,,,,,4.2,6.3,3.3,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.8176,,,,5.15,5.25,5.2,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,,,,,4.8,3.2,1.5,1.4,0.8,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.5994,,,,4.7,5.5,0.9,2.0,1.3,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,,,,,4.5,8.9,2.3,0.3,0.25,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.9565,220.0,750.0,,4.55,15.35,5.95,0.0,0.0,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,0.0,60.0,580.0,,4.0,20.4,7.5,0.4,0.3,0.43
Park Somerlust,52.3409612,4.9152788,unofficial,,55.0,630.0,,4.2,17.3,6.4,0.3,0.3,0.43
Nieuwemeer,52.3349228,4.8191074,official,0.0,,,,6.0,8.8,2.2,3.65,3.9,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.8988,,,,4.8,12.4,2.4,3.4,5.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.7783,,,,3.1,17.5,6.15,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.6625,,,,4.3,18.2,6.0,0.2,0.1,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.6529499999999999,,,,5.8,18.0,6.8,0.4,0.3,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.3681999999999999,,,,4.5,19.950000000000003,13.2,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4588,,,,4.3,13.6,8.8,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.6369,,,,4.55,9.1,6.5,0.2,0.1,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.7351,,,,5.0,6.7,2.9,2.0,1.3,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5859,,,,4.35,6.65,2.9,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5561499999999999,,,,6.1,6.3,1.2,2.2,2.2,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.6115,,,,4.6,4.5,1.8,1.4,0.5,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5859,,,,5.65,9.4,2.3499999999999996,1.75,1.85,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.48285,,,,4.4,13.7,4.3,0.3,0.2,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.6789499999999999,,,,3.4,14.45,7.3,1.75,2.8499999999999996,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5423,,,,3.4,19.8,9.0,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5037,,,,4.2,17.4,9.2,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5104500000000001,,,,4.15,16.799999999999997,10.95,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5563,,,,4.0,14.0,9.0,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4215,,,,4.6,9.9,8.2,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.6249,,,,4.1,8.7,9.8,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4215,,,,7.8,6.949999999999999,3.85,2.1,1.5,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5719,,,,5.0,5.5,1.0,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4215,,,,4.7,5.3,0.2,1.2,0.6,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.296,,,,3.3,8.1,1.45,0.9,0.4,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.7964,,,,5.4,11.9,2.7,1.3,1.5,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.6475,,,,3.45,16.45,6.0,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.6361,,,,4.5,17.0,5.6,0.1,0.1,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5859,,,,3.6,17.9,5.3,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.51315,,,,3.55,17.85,8.149999999999999,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.6249,,,,4.4,11.1,5.9,1.2,1.3,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4404,,,,4.4,6.85,7.0,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4215,,,,4.2,6.3,3.3,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.8676999999999999,,,,5.15,5.25,5.2,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.49565,,,,4.8,3.2,1.5,1.4,0.8,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.0,,,,4.7,5.5,0.9,2.0,1.3,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4754,,,,4.5,8.9,2.3,0.3,0.25,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.7139,,,,5.6,11.5,2.4,1.7,2.1,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5859,,,,4.55,15.35,5.95,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4404,,,,4.0,20.4,7.5,0.4,0.3,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.48465,,,,4.2,17.3,6.4,0.3,0.3,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5994,,,,4.15,17.45,7.85,0.3,0.35,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4215,,,,4.5,13.6,11.7,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.9589,,,,3.9,11.8,10.75,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.58565,,,,5.8,6.8,6.7,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.21075,,,,9.2,7.6,2.6,2.5,2.7,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5568,,,,6.2,6.5,0.4,1.0,0.7,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5466500000000001,,,,5.2,6.2,2.4,1.6,0.7,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.71095,,,,4.05,6.2,1.4,0.6,0.8,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.61815,,,,4.7,11.8,2.4,1.6,1.5,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5994,,,,4.7,15.35,5.449999999999999,0.8,0.6499999999999999,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5037,,,,4.6,18.5,7.6,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5859,,,,3.8,18.1,8.4,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.61215,,,,4.25,16.950000000000003,9.4,0.05,0.05,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4754,,,,4.0,11.9,6.9,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5994,,,,4.8,10.4,10.5,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4215,,,,6.5,8.1,3.0,1.0,0.4,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5994,,,,4.1,7.15,6.35,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.21075,,,,5.1,4.6,0.7,1.3,0.7,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5994,,,,5.6,6.5,0.7,1.5,0.8,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.61215,,,,4.75,6.9,1.35,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4574,,,,4.2,12.7,6.8,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.7717,,,0.5,4.199999999999999,15.25,6.300000000000001,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.56775,,,0.5,4.0,19.0,7.0,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5859,,,0.5,3.3,20.0,11.7,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5984,,,0.5,4.25,17.0,7.25,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5719,,,2.1,3.9,17.8,10.3,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.6177,,,0.5,4.5,11.05,3.9,0.3,0.1,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.54605,,,,4.6,5.6,4.0,1.0,0.2,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5994,,,,5.449999999999999,1.5,6.4,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.3182,,,,6.5,5.2,0.9,1.7,0.8,0.29
Nieuwemeer,52.3349228,4.8191074,official,,,,,5.8,5.3,0.3,2.8,2.8,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.2553,,,,4.15,7.6,1.7000000000000002,1.8,1.6,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4753,,,,6.0,13.5,3.3,0.8,0.4,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5267,,,,3.7,14.35,4.9,0.75,0.5,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4939,,,,3.5,17.4,6.6,0.3,0.2,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.6305499999999999,,,,4.3,18.2,6.5,1.0,1.4,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.1027,,,,4.8,17.6,7.699999999999999,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,,,,,4.0,14.9,8.7,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.6908,,,,4.45,9.05,7.15,0.35,0.05,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.1779,,,,4.8,8.1,5.4,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,,,,,5.45,4.9,0.6499999999999999,1.25,0.5,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4404,,,,3.8,1.3,2.3,0.3,0.1,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5574,,,,3.5,6.0,1.0,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.4215,,,,3.8,9.9,4.3,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,,,,,3.45,17.65,7.65,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.5994,,,,4.1,17.8,9.0,0.0,0.0,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.6658,,,,3.75,15.9,5.4,0.6000000000000001,0.75,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.128,,,0.5,4.35,13.8,4.35,0.8,2.05,0.29
Nieuwemeer,52.3349228,4.8191074,official,0.908,,,1.4,5.1,17.9,9.0,0.5,0.6,0.29
Nieuwemeer,52.3349228,4.8191074,official,-0.5106,,,1.3,4.8,14.75,7.7,0.0,0.0,0.29
Park schinkeleilanden,52.3444785,4.840123,unofficial,,,,,6.0,8.8,2.2,3.65,3.9,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.7184,90.0,620.0,,3.1,17.5,6.15,0.0,0.0,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,,50.0,1300.0,,4.3,18.2,6.0,0.2,0.1,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.3506,60.0,480.0,,5.8,18.0,6.8,0.4,0.3,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.3991,15.0,200.0,,4.5,19.950000000000003,13.2,0.0,0.0,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.4199,15.0,130.0,,4.3,13.6,8.8,0.0,0.0,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.4511,20.0,110.0,,4.55,9.1,6.5,0.2,0.1,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.92535,,,,5.65,9.4,2.3499999999999996,1.75,1.85,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.7906,,,,4.4,13.7,4.3,0.3,0.2,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.4588,20.0,160.0,,3.4,14.45,7.3,1.75,2.8499999999999996,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,,20.0,250.0,,3.4,19.8,9.0,0.0,0.0,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.4215,15.0,230.0,,4.2,17.4,9.2,0.0,0.0,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.4215,30.0,110.0,,4.15,16.799999999999997,10.95,0.0,0.0,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.9485,30.0,110.0,,4.0,14.0,9.0,0.0,0.0,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,,90.0,410.0,,4.6,9.9,8.2,0.0,0.0,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.4215,,,,7.8,6.949999999999999,3.85,2.1,1.5,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,,,,,5.0,5.5,1.0,0.0,0.0,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,,,,,3.3,8.1,1.45,0.9,0.4,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.4588,,,,5.4,11.9,2.7,1.3,1.5,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.4753,80.0,290.0,,3.45,16.45,6.0,0.0,0.0,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.29295,410.0,310.0,,4.5,17.0,5.6,0.1,0.1,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,,20.0,230.0,,3.6,17.9,5.3,0.0,0.0,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,,15.0,140.0,,3.55,17.85,8.149999999999999,0.0,0.0,0.43
Park schinkeleilanden,52.3444785,4.840123,unofficial,0.5859,20.0,140.0,,4.4,11.1,5.9,1.2,1.3,0.43
Grote Vijver,52.3209209,4.8264294,official,0.0,,,,3.1,17.5,6.15,0.0,0.0,0.29
Grote Vijver,52.3209209,4.8264294,official,0.7799,,,,5.8,18.0,6.8,0.4,0.3,0.29
Grote Vijver,52.3209209,4.8264294,official,0.9017,,,,4.55,9.1,6.5,0.2,0.1,0.29
Grote Vijver,52.3209209,4.8264294,official,0.4404,,,,4.4,13.7,4.3,0.3,0.2,0.29
Grote Vijver,52.3209209,4.8264294,official,,,,,3.4,14.45,7.3,1.75,2.8499999999999996,0.29
Grote Vijver,52.3209209,4.8264294,official,0.875,,,,3.4,19.8,9.0,0.0,0.0,0.29
Grote Vijver,52.3209209,4.8264294,official,,,,,4.0,14.0,9.0,0.0,0.0,0.29
Grote Vijver,52.3209209,4.8264294,official,0.61025,,,,4.1,8.7,9.8,0.0,0.0,0.29
Grote Vijver,52.3209209,4.8264294,official,0.5442,,,,4.5,17.0,5.6,0.1,0.1,0.29
Grote Vijver,52.3209209,4.8264294,official,0.9022,,,,3.55,17.85,8.149999999999999,0.0,0.0,0.29
Grote Vijver,52.3209209,4.8264294,official,,,,,4.4,6.85,7.0,0.0,0.0,0.29
Grote Vijver,52.3209209,4.8264294,official,0.8481,,,,4.2,6.3,3.3,0.0,0.0,0.29
Grote Vijver,52.3209209,4.8264294,official,,,,,4.55,15.35,5.95,0.0,0.0,0.29
Grote Vijver,52.3209209,4.8264294,official,0.80925,,,,4.0,20.4,7.5,0.4,0.3,0.29
Grote Vijver,52.3209209,4.8264294,official,,,,,4.2,17.3,6.4,0.3,0.3,0.29
Grote Vijver,52.3209209,4.8264294,official,,,,,5.8,6.8,6.7,0.0,0.0,0.29
Grote Vijver,52.3209209,4.8264294,official,,,,,4.7,11.8,2.4,1.6,1.5,0.29
Grote Vijver,52.3209209,4.8264294,official,0.5574,,,,4.7,15.35,5.449999999999999,0.8,0.6499999999999999,0.29
Grote Vijver,52.3209209,4.8264294,official,0.8654999999999999,,,,4.6,18.5,7.6,0.0,0.0,0.29
Grote Vijver,52.3209209,4.8264294,official,0.58895,,,,3.8,18.1,8.4,0.0,0.0,0.29
Grote Vijver,52.3209209,4.8264294,official,0.546,,,,4.25,16.950000000000003,9.4,0.05,0.05,0.29
Grote Vijver,52.3209209,4.8264294,official,0.5106,,,,4.0,19.0,7.0,0.0,0.0,0.29
Grote Vijver,52.3209209,4.8264294,official,,,,,3.3,20.0,11.7,0.0,0.0,0.29
Grote Vijver,52.3209209,4.8264294,official,0.8645,,,,6.5,5.2,0.9,1.7,0.8,0.29
Gaasperplas,52.3092559,4.9883971,official,0.886,25.0,220.0,1.2,4.5,19.950000000000003,13.2,0.0,0.0,0.5
Gaasperplas,52.3092559,4.9883971,official,0.9798,,,5.4,5.0,6.7,2.9,2.0,1.3,0.5
Gaasperplas,52.3092559,4.9883971,official,0.5719,,,0.5,5.65,9.4,2.3499999999999996,1.75,1.85,0.5
Gaasperplas,52.3092559,4.9883971,official,,,,0.5,4.1,8.7,9.8,0.0,0.0,0.5
Gaasperplas,52.3092559,4.9883971,official,0.7418,,,0.5,3.3,8.1,1.45,0.9,0.4,0.5
Gaasperplas,52.3092559,4.9883971,official,,30.0,80.0,0.8,3.6,17.9,5.3,0.0,0.0,0.5
Gaasperplas,52.3092559,4.9883971,official,0.6705,20.0,300.0,0.5,3.55,17.85,8.149999999999999,0.0,0.0,0.5
Gaasperplas,52.3092559,4.9883971,official,,45.0,90.0,0.5,4.5,13.6,11.7,0.0,0.0,0.5
Gaasperplas,52.3092559,4.9883971,official,0.7096,30.0,350.0,0.8,4.6,18.5,7.6,0.0,0.0,0.5
Gaasperplas,52.3092559,4.9883971,official,,110.0,210.0,1.7,3.8,18.1,8.4,0.0,0.0,0.5
Gaasperplas,52.3092559,4.9883971,official,0.7717,,,0.5,4.75,6.9,1.35,0.0,0.0,0.5
Sloterplas,52.3650133,4.814011,unofficial,0.2997,,,,6.0,8.8,2.2,3.65,3.9,0.21
Sloterplas,52.3650133,4.814011,unofficial,0.7184,410.0,550.0,,4.8,12.4,2.4,3.4,5.0,0.21
