Location_Unique,Lat,Long,Status,Sentiment_Score_median,INTTNLETRCCN_nKVE/dl_median,E_COLI_nKVE/dl_median,CHLFa_ug/l_blauwalg_median,FG_median,TG_median,SQ_median,DR_median,RH_median,Normalized_Amenities_Score
Erasmuspark,52.3765421,4.8448668,unofficial,0.5994,50.0,780.0,1.4,4.5,17.0,5.6,0.1,0.1,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.5719,20.0,140.0,1.0,3.6,17.9,5.3,0.0,0.0,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.5994,15.0,550.0,2.7,3.55,17.85,8.149999999999999,0.0,0.0,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.59265,15.0,250.0,99.8,4.4,11.1,5.9,1.2,1.3,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.59265,130.0,310.0,0.5,4.4,6.85,7.0,0.0,0.0,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.0,,,,4.2,6.3,3.3,0.0,0.0,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.6996,,,,5.15,5.25,5.2,0.0,0.0,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.5859,,,,4.8,3.2,1.5,1.4,0.8,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.4215,,,,4.7,5.5,0.9,2.0,1.3,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.6451,,,,4.5,8.9,2.3,0.3,0.25,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.4215,,,,5.6,11.5,2.4,1.7,2.1,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.5016,,,,4.55,15.35,5.95,0.0,0.0,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.5988500000000001,,,,4.0,20.4,7.5,0.4,0.3,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.5497000000000001,,,,4.2,17.3,6.4,0.3,0.3,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.62775,,,,4.15,17.45,7.85,0.3,0.35,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.4215,,,,4.5,13.6,11.7,0.0,0.0,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.717,,,,3.9,11.8,10.75,0.0,0.0,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.0,,,,5.8,6.8,6.7,0.0,0.0,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.0,,,,9.2,7.6,2.6,2.5,2.7,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.66705,,,,6.2,6.5,0.4,1.0,0.7,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.8126,,,,5.2,6.2,2.4,1.6,0.7,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.6124,,,,4.05,6.2,1.4,0.6,0.8,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.1909,,,,4.7,11.8,2.4,1.6,1.5,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.5994,,,,4.7,15.35,5.449999999999999,0.8,0.6499999999999999,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.44015,,,,4.6,18.5,7.6,0.0,0.0,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.6114,,,,3.8,18.1,8.4,0.0,0.0,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.5994,,,,4.25,16.950000000000003,9.4,0.05,0.05,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.5703,,,,4.0,11.9,6.9,0.0,0.0,0.43
Gaasperplas,52.3069241,4.9864444,official,0.5994,,,,4.8,12.4,2.4,3.4,5.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.38585,200.0,390.0,0.55,3.1,17.5,6.15,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.5789,25.0,265.0,1.35,4.3,18.2,6.0,0.2,0.1,0.36
Gaasperplas,52.3069241,4.9864444,official,0.6759,15.0,145.0,0.75,5.8,18.0,6.8,0.4,0.3,0.36
Gaasperplas,52.3069241,4.9864444,official,0.802,25.0,220.0,1.2,4.5,19.950000000000003,13.2,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.0,15.0,60.0,4.15,4.3,13.6,8.8,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,,,,6.8,4.55,9.1,6.5,0.2,0.1,0.36
Gaasperplas,52.3069241,4.9864444,official,0.7425,,,5.4,5.0,6.7,2.9,2.0,1.3,0.36
Gaasperplas,52.3069241,4.9864444,official,,,,0.4,4.6,4.5,1.8,1.4,0.5,0.36
Gaasperplas,52.3069241,4.9864444,official,0.7269,,,0.5,5.65,9.4,2.3499999999999996,1.75,1.85,0.36
Gaasperplas,52.3069241,4.9864444,official,0.9359,,,1.0,4.4,13.7,4.3,0.3,0.2,0.36
Gaasperplas,52.3069241,4.9864444,official,0.8172,40.0,160.0,0.9,3.4,14.45,7.3,1.75,2.8499999999999996,0.36
Gaasperplas,52.3069241,4.9864444,official,0.64785,17.5,80.0,0.9,3.4,19.8,9.0,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.3953,30.0,205.0,0.9,4.2,17.4,9.2,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.5859,17.5,80.0,0.7,4.15,16.799999999999997,10.95,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.6361,17.5,20.0,0.5,4.0,14.0,9.0,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.4215,77.5,32.5,0.5,4.6,9.9,8.2,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.0,,,0.5,4.1,8.7,9.8,0.0,0.0,0.36
