Sentiment_Score_mean,O2_mg/l_mean,O2_%_mean,T_oC_mean,ZICHT_m_mean,INTTNLETRCCN_nKVE/dl_mean,E_COLI_nKVE/dl_mean,CHLFa_ug/l_blauwalg_mean,FG_mean,TG_mean,SQ_mean,DR_mean,RH_mean,Normalized_Amenities_Score
0.743,6.213047306840297,65.30921164576341,18.824333992163176,0.8101590545269133,50.0,850.0,2.2042423955230817,3.6966666666666654,18.186666666666667,6.510000000000001,1.1133333333333333,2.123333333333333,0.43
0.3647,6.515780407628448,67.92016595125432,19.56574063728882,0.47243977791388225,30.0,230.0,1.992415176008252,4.366666666666666,19.273333333333333,11.013333333333332,0.5066666666666666,0.7533333333333333,0.43
0.5686652555513477,8.14296925407999,67.76719168087587,7.650274443849011,1.0726883189327934,177.14360020602254,1101.5061198858011,3.6039801341053863,5.874193548387097,7.003225806451613,3.970967741935484,3.458064516129032,3.2516129032258063,0.43
0.5676220379872552,8.150744396834948,66.46687164421424,6.677449423462847,1.2745759221890127,240.83435841650893,1302.5028842482795,4.324715189518981,6.416129032258064,6.006451612903225,1.9096774193548387,3.158064516129032,3.929032258064516,0.43
0.835,6.0627140533905415,66.49530925293767,20.92945396466603,0.5373845970922035,30.0,680.0,1.9878103358105776,3.52258064516129,20.29032258064516,8.925806451612903,0.2741935483870967,1.425806451612903,0.43
0.38585,6.670974747348236,67.25524084461364,18.591053888741822,0.8228547858397133,380.0,8300.0,5.819324207560886,4.153333333333333,17.063333333333333,9.636666666666668,1.1133333333333333,2.52,0.43
0.4961333333333333,8.228711390735377,69.65276371500053,9.243776558128388,0.8731387500372949,-33.99987846437189,435.75118436900846,1.2089314126368051,4.112903225806452,7.745161290322581,8.438709677419356,0.767741935483871,0.7290322580645162,0.43
0.5719,8.097475909430928,65.9893575631553,6.542093387045875,1.4672678693681012,243.8783657313881,1312.3054756611423,4.359273982651682,4.819354838709677,5.612903225806452,1.467741935483871,2.641935483870968,1.941935483870968,0.43
0.723706933068245,6.630012325852544,64.53112917715008,18.68781359569101,1.457978534923893,140.0,24000.0,2.7389586983303262,3.72,16.516666666666666,6.13,0.3266666666666667,0.4866666666666666,0.43
0.7780820385575585,6.461475942471265,63.70349376448331,20.23501004249093,1.6802931624891668,580.0,35000.0,7.544123657074083,4.490322580645161,17.080645161290324,5.409677419354838,0.8870967741935484,2.980645161290323,0.43
0.64215,6.3646312949786505,65.54654634692054,20.177451204589033,1.0445011689768884,30.0,17000.0,1.6347180039314406,3.503333333333333,17.80666666666667,8.446666666666667,1.34,3.54,0.43
0.765,6.4,70.2,20.137500000000003,1.1625,145.45454545454547,3243.6363636363635,0.55,4.467741935483871,17.796774193548387,6.754838709677419,1.4806451612903226,3.264516129032258,0.43
0.5598646359655812,9.1,97.0,20.73333333333333,1.0,26.666666666666668,226.66666666666663,0.5,4.366666666666666,19.273333333333333,11.013333333333332,0.5066666666666666,0.7533333333333333,0.43
0.3818,11.4,90.0,6.0,0.6,118.96224564585401,907.805074405182,0.5,4.789285714285714,6.107142857142857,3.717857142857144,0.975,0.6571428571428571,0.43
0.9379,5.6,55.0,14.2,1.1,171.6368259693462,1093.1912373097475,0.5,4.464516129032258,13.45483870967742,4.761290322580645,1.164516129032258,1.8193548387096767,0.43
-0.0459,6.325465224984896,63.96920627236557,17.400000000000002,1.0,176.66666666666666,2733.333333333333,0.8,3.4833333333333334,15.413333333333332,6.36,2.4566666666666666,5.263333333333334,0.43
0.1404999999999999,6.125,71.25,22.6,0.9857142857142858,42.0,272.0,1.075,3.52258064516129,20.29032258064516,8.925806451612903,0.2741935483870967,1.425806451612903,0.43
0.6835,6.6,72.0,21.266666666666666,1.0,78.0,1202.0,0.6,3.97741935483871,18.751612903225805,8.470967741935485,0.5870967741935483,1.135483870967742,0.43
0.3804666666666667,6.0,62.0,18.633333333333336,0.9333333333333332,122.0,1950.0,0.5,4.153333333333333,17.063333333333333,9.636666666666668,1.1133333333333333,2.52,0.43
0.8642,9.2,88.0,15.833333333333334,1.0333333333333334,447.0,5008.0,0.5,4.280645161290322,13.98709677419355,8.319354838709677,0.732258064516129,1.6483870967741936,0.43
0.5700699986977704,10.0,79.0,5.9,0.8,-37.57722902182651,419.2092031042488,0.5,4.112903225806452,7.745161290322581,8.438709677419356,0.767741935483871,0.7290322580645162,0.43
0.1348,10.3,83.0,6.4,1.2,150.5530561978086,1010.557896227672,0.5,8.289285714285715,6.889285714285714,4.121428571428572,2.8714285714285714,3.657142857142857,0.43
0.8012,7.63498547423208,65.74815243209295,9.106971488933674,1.3444699660652568,253.03945811995473,1342.4329180931677,4.473677140393804,3.95,7.83,2.006666666666667,2.52,2.563333333333333,0.43
0.08385,6.3971898964767355,64.09817644573069,17.7,1.2,38.5,2511.0,0.5,3.72,16.516666666666666,6.13,0.3266666666666667,0.4866666666666666,0.43
0.5821954125263947,6.375,69.0,19.516666666666666,0.95,91.0,2610.6666666666665,0.5,4.490322580645161,17.080645161290324,5.409677419354838,0.8870967741935484,2.980645161290323,0.43
0.61882,5.910192560216761,66.27661535529039,21.73333333333333,0.75,45.0,1562.142857142857,0.6,3.503333333333333,17.80666666666667,8.446666666666667,1.34,3.54,0.43
0.5729425798468868,7.36338316254324,68.07548069084157,13.55,0.9,494.0,4000.0,7.190265790531772,4.948387096774193,11.167741935483871,6.783870967741936,2.170967741935484,3.2483870967741937,0.43
