CHLFa_ug/l_blauwalg,E_COLI_nKVE/dl,INTTNLETRCCN_nKVE/dl,O2_%,O2_mg/l,T_oC,ZICHT_m,FG,TG,SQ,DR,RH
236.22467432310623,15.0,20.0,68.98032301944652,7.303476612829126,13.74947450959316,0.8304690374952081,5.0,11.6,10.6,0.0,0.0
233.99613455164945,200.0,60.0,68.20815722308159,7.8666810298876095,9.851331897249747,0.8163185653541792,3.2,6.9,1.8,0.4,0.1
314.6964331617273,50.0,15.0,68.8288339483626,7.088292211428429,14.89152683549556,0.8328098127098025,3.5,12.5,11.4,0.0,0.0
185.07974097236365,60.0,180.0,67.88575230209902,6.804823418247662,15.969078380459102,0.8277256455995542,4.8,14.1,2.5,0.0,0.0
325.8858601473985,20.0,20.0,68.91340270881085,6.953928439121401,15.685545026665508,0.8352174542331926,3.5,13.4,12.8,0.4,0.2
269.6779474460109,30.0,20.0,68.02925572522764,6.195497823175241,19.654892903317805,0.8336475469441899,4.4,18.1,7.4,0.0,0.0
46.0,80.0,15.0,67.98924888082863,5.804372600086571,22.458639092022622,0.8440528305417225,2.1,20.6,13.7,0.0,0.0
306.4872475000375,20.0,30.0,67.54630344942376,6.201045688301254,19.205703019674655,0.8300547569461776,2.9,17.3,3.7,0.6,0.2
265.97566643632126,2300.0,480.0,67.04328306604012,5.777750146852909,21.163733562641085,0.8072008220166432,3.1,19.6,4.1,2.9,3.7
114.45013466995806,250.0,140.0,68.48454564449376,6.848425568797379,16.143577563298116,0.8239482595901793,7.3,14.8,7.5,1.1,3.8
203.03058112163671,30.0,15.0,68.14550673262927,6.651558550359105,16.749911368961012,0.8255898480880185,5.1,15.2,5.4,2.4,1.0
0.5,310.0,130.0,68.81150370451184,8.201297101809452,8.529286544103298,0.8133187004726705,4.8,5.8,0.8,0.0,-0.1
99.8,250.0,15.0,68.83300018767505,7.553051581007025,12.086678811236236,0.8151469325258219,6.7,10.3,3.1,1.0,0.7
2.7,550.0,15.0,68.08627178679247,6.027420747848624,21.138808614889516,0.8311846915896414,3.8,19.6,10.0,0.0,0.0
1.0,140.0,20.0,68.03940746551042,6.701920999081544,16.874296412481844,0.8212348163968621,5.3,15.3,1.0,0.5,0.4
1.4,780.0,50.0,68.43753537808122,6.306531997778427,19.435762690365046,0.8187758808949059,7.2,18.6,5.5,0.6,1.0
0.6,270.0,30.0,68.18528419615805,5.9043522197608045,21.971467305432896,0.8388322567920159,3.4,20.4,12.2,0.0,0.0
1.0,90.0,15.0,68.90621205709898,7.621548104468783,11.560228608596983,0.8122109537030028,7.2,10.0,0.0,2.6,0.7
0.6,140.0,30.0,68.19362805115514,6.5730137634379044,17.744576495494723,0.8230226618076097,6.3,16.5,1.5,0.0,-0.1
0.5,200.0,15.0,69.05072618699826,7.268733373858895,14.29344474793125,0.8283755329504696,4.4,12.1,10.8,0.6,0.3
0.7,140.0,15.0,68.48673329603687,6.397021863026065,19.22352635282249,0.8364646387369473,3.7,17.4,11.6,0.0,0.0
1.0,230.0,20.0,68.50202751057861,5.939691897254434,21.8490023611733,0.8365749676523367,5.5,20.8,11.2,0.0,0.0
0.5,560.0,15.0,68.22407424328163,6.045436901539096,21.095076283946952,0.8308104634403418,4.4,19.7,10.2,0.0,0.0
0.5,220.0,15.0,69.84930566386852,8.340880548522366,8.513320945618203,0.8234057199933184,4.9,5.7,12.0,0.0,0.0
1.9,130.0,50.0,68.92660785598721,7.701661695460203,11.688456085050502,0.8241928757558453,4.1,9.1,7.0,0.0,0.0
0.5,110.0,15.0,68.95768351238154,6.787490760977246,17.180572118446737,0.8352838049415493,4.5,15.3,12.7,0.0,0.0
0.9,110.0,30.0,68.4992934455193,5.829256928836951,22.627128310487684,0.8446016524743559,3.8,21.2,15.2,0.0,0.0
