Sentiment_Score,O2_mg/l,O2_%,T_oC,ZICHT_m,INTTNLETRCCN_nKVE/dl,E_COLI_nKVE/dl,CHLFa_ug/l_blauwalg,FG,TG,SQ,DR,RH,Normalized_Amenities_Score,Status
0.5994,7.101170646832055,70.91308100763078,17.344215162945098,1.1378751009059371,206.92428292234376,447.5907412394404,4.8048251190972495,3.4,15.3,2.1,0.0,0.0,0.36,1
0.0,6.052913680553631,67.73960276952161,18.4,1.0,390.0,440.0,4.926759997761655,8.2,18.6,1.8,0.0,0.0,0.36,1
0.7717,5.48751218229576,70.37133188545144,24.880444577872943,1.0808570866203695,222.55935140438487,424.51185343886664,4.80831363469005,2.8,24.7,11.6,0.0,0.0,0.36,1
0.5859,7.098591003936298,70.30210648192683,22.5,1.0,20.0,670.0,4.744192978869996,3.5,18.8,9.1,0.0,0.0,0.36,1
0.5719,7.261897034070339,72.24727372244593,18.0,1.0,60.0,350.0,2.0,7.5,16.0,8.1,1.2,1.9,0.36,1
0.8176,6.212242085822378,69.37870217391875,18.33800320726248,1.0440625130033236,252.78395275183993,446.7714240469886,4.836164441321623,7.8,18.0,0.6,7.3,16.8,0.36,1
0.6249,4.4,48.0,18.7,0.5,422.92049357452856,461.7789103999103,4.944082682514463,4.9,19.5,1.6,0.0,-0.1,0.36,1
0.0,6.629891338039947,70.15877318951308,18.498820169216835,1.0722651464595874,196.00434932060466,504.087638107419,4.81499582847586,3.0,18.0,8.9,0.0,-0.1,0.36,1
0.7269,6.54675382060211,70.7225504620083,17.753018218671393,1.1690211388266025,268.0542943186804,448.4352322409759,4.846972291255992,6.7,17.5,0.4,6.2,5.5,0.36,1
0.802,6.011617035954305,70.6178866647989,22.141374458691814,1.0840417393641424,214.9075485311671,440.15713348245845,4.8080166410317355,2.8,21.5,14.9,0.0,0.0,0.36,1
0.0,6.948600642529474,70.05028687882277,16.90784398741642,1.0563473889446513,194.69390293518632,516.0497042090033,4.818084295447948,4.3,16.3,8.8,0.0,0.0,0.36,1
0.7425,9.068367350277086,72.65139725089142,5.5335927511143765,1.3100046387424165,241.25062101038634,481.69872894879563,4.8385546383079765,4.2,2.2,0.5,6.4,3.4,0.36,1
