Sentiment_Score_median,INTTNLETRCCN_nKVE/dl_median,E_COLI_nKVE/dl_median,CHLFa_ug/l_blauwalg_median,FG_median,TG_median,SQ_median,DR_median,RH_median,Normalized_Amenities_Score,Status
0.0,49.942009232468514,174.4174876652005,1.331290656834375,4.2,6.3,3.3,0.0,0.0,0.43,0
0.6996,27.756882157843947,63.55542764033294,0.9199170906771743,5.15,5.25,5.2,0.0,0.0,0.43,0
0.5859,80.38864374751384,189.2105913703731,1.3028288279144342,4.8,3.2,1.5,1.4,0.8,0.43,0
0.4215,118.19546569025184,325.08373696569544,1.7771714595059576,4.7,5.5,0.9,2.0,1.3,0.43,0
0.6451,87.0075059390538,345.23263474584326,1.9579106516568983,4.5,8.9,2.3,0.3,0.25,0.43,0
0.4215,166.9084368238968,546.5168385918352,2.590406801837288,5.6,11.5,2.4,1.7,2.1,0.43,0
0.5016,83.71162731776735,402.80322339097165,2.220644418055658,4.55,15.35,5.95,0.0,0.0,0.43,0
0.5988500000000001,104.91576967917575,509.4567456404948,2.6207869201248304,4.0,20.4,7.5,0.4,0.3,0.43,0
0.5497000000000001,97.35691504220179,452.79059996483727,2.3969540413994483,4.2,17.3,6.4,0.3,0.3,0.43,0
0.62775,82.44198074300482,381.7448016423063,2.13607765989961,4.15,17.45,7.85,0.3,0.35,0.43,0
0.4215,7.124707424026306,28.938062880813334,0.8398143269480252,4.5,13.6,11.7,0.0,0.0,0.43,0
0.717,-1.6636109932698648,-16.14017365057638,0.6703509772712322,3.9,11.8,10.75,0.0,0.0,0.43,0
0.0,30.842508923305424,74.0008859403031,0.9573453574932713,5.8,6.8,6.7,0.0,0.0,0.43,0
0.0,193.93315640331434,535.8944398354704,2.46280560718036,9.2,7.6,2.6,2.5,2.7,0.43,0
0.66705,123.45369507619384,426.8492785075163,2.199323651806531,6.2,6.5,0.4,1.0,0.7,0.43,0
0.8126,93.11184667794933,269.6202475952179,1.6133380461085256,5.2,6.2,2.4,1.6,0.7,0.43,0
0.6124,88.7670878581871,288.1396128949921,1.7053657934703366,4.05,6.2,1.4,0.6,0.8,0.43,0
0.1909,147.09765405004802,505.30228916102976,2.47161815987326,4.7,11.8,2.4,1.6,1.5,0.43,0
0.5994,110.75787716742866,454.7296113175777,2.364318612755592,4.7,15.35,5.449999999999999,0.8,0.6499999999999999,0.43,0
