Location,Score,Normalized Score
Gaasperplas,8,0.57
Gaasperplas strand,8,0.57
Playground Gaasperplaspark,8,0.57
Waterspeelplaats Gaasperpark,8,0.57
Park de Oeverlanden,6,0.43
Swimming Nieuwemeer,5,0.36
Play island,7,0.5
Strand Blijburg,9,0.64
Strand Diemerpark,7,0.5
Ouderkerkerplas Strand,5,0.36
Ouderkerkerplas,4,0.29
Beach De Hoge Dijk,4,0.29
Sloterstrand,3,0.21
Sloterplas,6,0.43
Sloterplas Beach,7,0.5
Bogortuin,7,0.5
Buitenzwembad Marineterrein…,9,0.64
Kuuma Marineterrein,9,0.64
Youthland Outdoor Playground,10,0.71
Erasmuspark,9,0.64
De Ceuvel,7,0.5
Park schinkeleilanden,7,0.5
Park Somerlust,10,0.71
Stadshaven Amstelkwartier,10,0.71
