name,Cluster,PC1,PC2
Gaasperplas,3,-0.8398815353324893,-2.0809331810778433
Gaasperplas,3,-0.47360754591254467,-1.2740932049540596
Gaasperplas,3,-3.5504689813329113,-1.2531849856087234
Gaasperplas,3,-2.2206254087758843,-1.1926424563867593
Gaasperplas,3,-0.8290523022267499,-2.3574666385005547
Gaasperplas,4,0.5886111076351581,-2.951827227757329
Gaasperplas,3,-2.501859488024988,-2.5287387263200025
Gaasperplas,3,-1.907591797562777,-1.7637197816258297
Gaasperplas,4,0.25191001608025804,-2.6384547812891257
Gaasperplas,3,-3.1508063936583883,-1.3689994883288263
Gaasperplas,3,-1.382895942304484,-1.9579207399260874
Gaasperplas,0,3.0194923133853457,-3.3538158804673137
Gaasperplas,0,-0.08754969179397325,-3.108162623106093
Gaasperplas,8,1.5355977827356517,2.162049918095152
Gaasperplas,3,-1.072860210932302,-2.144973821363194
Gaasperplas,3,-1.4121266877844643,-1.90599059295129
Gaasperplas,8,0.04492348943216608,1.2831348328422314
Gaasperplas,3,-1.5316750583617205,-1.9043047589852975
Gaasperplas,3,-1.9882028433567331,-1.757019715124435
Gaasperplas,3,-2.7065506741130676,-2.3687801888772095
Gaasperplas,3,-0.5570421912999473,-2.280149117347147
Gaasperplas,0,-0.20528837595354235,-2.4014437988778825
Gaasperplas,0,-0.18129346039681388,-2.4167229530869885
Gaasperplas,0,-0.4881247249824777,-2.184606581056023
Gaasperplas,0,-0.10360597935300081,-2.3121357337924917
Gaasperplas,8,4.173815125158738,0.7405921094673208
Gaasperplas,4,3.375193770914503,-3.8268365940855524
Gaasperplas,0,1.5599302474183538,-2.92114124197597
Gaasperplas,3,-0.36782326432774215,-2.347589032573723
Gaasperplas,3,-1.1141293006160358,-2.035383834168114
Gaasperplas,3,-0.9258967730698686,-2.084635875579459
Gaasperplas,3,-2.112971102339371,-1.7057352218444293
Gaasperplas,3,-2.041052219779463,-1.7012750475813179
Gaasperplas,0,0.4705022214944243,-2.5783925708426314
Gaasperplas,0,0.45361839642261487,-2.499952360005774
Gaasperplas,0,1.2075242405808615,-2.8215425768543114
Gaasperplas,8,3.087891548626191,-0.0875557335274031
Gaasperplas,4,2.5736388733531004,-4.345735380008838
Gaasperplas,0,1.9333836991279432,-2.8686821785521515
Gaasperplas,4,2.856699946765926,-3.553797738915648
Gaasperplas,0,1.9665366974948795,-3.066236806488476
Gaasperplas,0,1.00757441767463,-2.763796634284882
Gaasperplas,0,0.28329084393634785,-2.423012764181219
Gaasperplas,4,1.82383106574691,-3.352777237840492
Gaasperplas,3,-1.127134886482422,-2.0528103840165994
Gaasperplas,3,-0.7122270815086053,-3.292195381616943
Gaasperplas,0,-0.2582995033361966,-3.7290188618744775
Gaasperplas,0,0.5259283907469783,-2.5506465679151944
Gaasperplas,0,1.7372365449570741,-3.1861777660112733
Gaasperplas,0,1.4232206123317308,-2.829091202127327
Gaasperplas,0,1.1762537545633034,-2.874118463790633
Gaasperplas,0,1.074251360818579,-2.6723556144488727
Gaasperplas,0,2.148899096215202,-3.237116588773751
Gaasperplas,0,1.1090706015255756,-2.6268844886652785
Gaasperplas,0,2.1751597727057392,-3.1580913388439753
Gaasperplas,4,2.2377733599220164,-3.3130468119348326
Gaasperplas,0,1.7495742982154234,-2.9057943748005295
Gaasperplas,0,1.0119750811105213,-2.7527943626473843
Gaasperplas,0,0.38845772573191445,-2.497969253395629
Gaasperplas,0,-0.19599688326463693,-2.250284100750711
Gaasperplas,3,-1.4357426941988918,-2.9773331590255574
Gaasperplas,4,-0.11824481747217105,-3.2987915622799338
Gaasperplas,8,-0.5598069141367731,2.5480238372999358
Gaasperplas,3,-2.928386969865006,-2.3184036079196586
Gaasperplas,3,-2.1978436858897146,-1.6956264051464764
Gaasperplas,3,-2.175489261369223,-1.7098609499064643
Gaasperplas,3,-2.3080607024837345,-1.688825272414515
Gaasperplas,3,-0.7572187613136607,-2.079522412505217
Gaasperplas,0,1.8221595299712177,-2.920797141577469
Gaasperplas,3,-1.609092488387772,-1.854011018233729
Gaasperplas,3,-1.8068545911656333,-1.8248650340019976
Gaasperplas,0,1.873760294736247,-3.1500020723427915
Gaasperplas,0,2.259954846914688,-3.2822128553394894
Gaasperplas,0,1.9599561233939207,-3.1322433827224057
Gaasperplas,0,1.0992341454547614,-2.7105129905995007
Gaasperplas,0,2.842292372443276,-3.4654076390280513
Gaasperplas,0,0.6249977171108871,-3.169605491940748
Gaasperplas,4,3.7612717528518638,-3.984712107719442
Gaasperplas,4,3.774971675772281,-3.9934357572967465
Gaasperplas,0,1.0798268625659198,-2.7351853452703536
Gaasperplas,3,-1.1432048258736718,-1.9665245239959266
