,0
ZICHT_m_mean,0.13872531894370577
E_COLI_nKVE/dl_mean,0.10146604344790265
CHLFa_ug/l_blauwalg_mean,0.10063058128449269
T_oC_mean,0.0989926195732953
O2_%_mean,0.09085009104586855
O2_mg/l_mean,0.08638803448169337
RH_mean,0.0815310481896012
INTTNLETRCCN_nKVE/dl_mean,0.0713654871928925
FG_mean,0.05888715715710553
SQ_mean,0.051677235470004856
TG_mean,0.049696848549390896
DR_mean,0.0454134782687692
Normalized_Amenities_Score,0.02437605639527758
